"team .colname","total .colname","attack .colname","defense .colname","n .colname","region .colname","city .colname","fall.league .colname","spr.league .colname","other .colname"
"Crossfire Yakima A B03",1441,13,6.53,36,"WA","Yakima","RCL B03 Div 4","Win RCL B03 Div 3","WYS Presidents Cup B03 Div 2"
"Idaho Rush Premier B03",1438,8.91,9.36,25,"ID","Boise","Idaho D3 U14/U15 Div 1 U15","Spr Idaho D3 U13/U14 Div 1","NWCL 03, ID State Cup U14"
"Washington East SC B03",1433,9.33,8.6,36,"WA","Spokane","PSPL WSPL 1 U14","Spr PSPL SuperLeague 1 U14",""
"FWFC Blue B03",1422,10.77,6.91,36,"WA","Federal Way","RCL B03 Div 3","Win RCL B03 Div 3","WYS Presidents Cup B03 Div 1"
"ISC Gunners A B03",1402,9.2,7.07,41,"WA","Issaquah","PSPL WSPL 1 U14","Spr PSPL SuperLeague 1 U14","WA Cup U14 Gold U14"
"WAFC Real Madrid B03",1392,11.25,5.39,33,"OR","Woodburn","PTT B03 Premier Green","Spr OYS B03 Premier Green","OYS State Cup B03"
"Westside Timbers Copa B03",1383,8.6,6.63,50,"OR","Beaverton","PTT B03 Premier Green","Spr OYS B03 Premier Green","FWRL03, NWCL 03, OYS State Cup B03"
"PacNW Blue B03",1381,9.73,5.74,48,"WA","Tukwila","RCL B03 Div 2, RCL B03 7v2","Win RCL B03 Div 3","WYS Presidents Cup B03 Div 1"
"Seattle United Samba B03",1366,6.75,7.51,41,"WA","Seattle","RCL B03 Div 3","Win RCL B03 Div 3","WYS Presidents Cup B03 Div 2"
"Wenatchee FC Black B03",1357,9.49,5.01,28,"WA","Wenatchee","PSPL WSPL 1 U14","Spr PSPL SuperLeague 1 U14","NWCL 03"
"Crossfire Yakima B B03",1355,11.12,4.22,23,"WA","Sunnyside","RCL B03 Div 4","Win RCL B03 Div 4",""
"Liga Tlaxtli FC Guerreros B03",1354,7.6,6.12,29,"WA","","PSPL WSPL 2 U14","Spr PSPL SuperLeague 2 U14",""
"Kent United Green B03",1352,7.62,6.02,45,"WA","Kent","NPSL Div 1 (03) U14","Win RCL B03 Div 5","Founders Cup B03 Div A, WYS Presidents Cup B03 Div 2"
"4-H Penarol B03",1349,14.34,3.14,34,"OR","","PTT B03 Premier Green","Spr OYS B03 Premier Green","OYS State Cup B03"
"Spokane Sounders A B03",1337,7.74,5.33,34,"WA","Spokane","RCL B03 Div 2","Win RCL B03 Div 2","NWCL 03, WYS Presidents Cup B03 Div 1"
"MVP Rapids Navy B03",1327,6.65,5.82,35,"WA","Maple Valley","PSPL WSPL 2 U14","Spr PSPL SuperLeague 1 U14","WA Cup U14 Gold U14"
"Washington Timbers Red 2 B03",1320,7.64,4.81,40,"WA","Vancouver","RCL B03 Div 3","Win RCL B03 Div 3","WYS Presidents Cup B03 Div 1"
"Pumas UNAM B03",1318,7.25,5.01,20,"WA","Seattle","PSPL WSPL 2 U14","",""
"Salem Chelsea B03",1299,9.96,3.2,26,"OR","Salem","PTT B03 Div 1 White","Spr OYS B03 Div 1 Green","OYS Presidents Cup B03"
"Southside SC Azul B03",1291,6.89,4.38,33,"OR","Tigard","PTT B03 Div 1 White","Spr OYS B03 Div 1 White","OYS Presidents Cup B03"
"PacNW White B03",1291,6.4,4.68,47,"WA","Tukwila","RCL B03 Div 4","Win RCL B03 Div 4","WYS Presidents Cup B03 Div 2"
"Seattle Celtic Green B03",1291,7.8,3.84,28,"WA","Seattle","PSPL WSPL 1 U14","Spr PSPL SuperLeague 1 U14",""
"NEU White B03",1287,7.75,3.77,37,"OR","Portland","PTT B03 Premier White","Spr OYS B03 Premier White","OYS State Cup B03"
"Blackhills FC Black B03",1285,8.31,3.47,37,"WA","Olympia","RCL B03 Div 3","Win RCL B03 Div 3","WYS Presidents Cup B03 Div 2"
"Kent United Gonzalez B03",1276,4.75,5.72,28,"WA","Kent","PSPL WSPL 2 U14","Spr PSPL SuperLeague 2 U14",""
"LASC IFC Coras B03",1276,9.06,2.99,31,"OR","NE Portland","PTT B03 Premier White","Spr OYS B03 Premier Green","OYS State Cup B03"
"Harbor Premier Green B03",1270,7.01,3.71,40,"WA","Gig Harbor","RCL B03 Div 3","Win RCL B03 Div 3","WYS Presidents Cup B03 Div 2"
"4-H FC Joga B03",1263,8.49,2.91,32,"OR","","PTT B03 Premier White","Spr OYS B03 Premier Green","OYS State Cup B03"
"4-H Atletico B03",1262,6.95,3.53,24,"OR","","PTT B03 Div 1 Green","Spr OYS B03 Div 1 Green",""
"Boise Nationals Timbers Blue B03",1261,6.52,3.74,34,"ID","Boise","Idaho D3 U14/U15 Div 1 U15","Spr Idaho D3 U13/U14 Div 1","FWRL03, ID State Cup U14"
