"team .colname","total .colname","attack .colname","defense .colname","n .colname","region .colname","city .colname","fall.league .colname","spr.league .colname","other .colname"
"Crossfire Premier C B02",1269,7.33,3.52,34,"WA","Redmond","RCL B02 Div 4","","WYS Presidents Cup B02 Div 2"
"IEYSA Valor Maroon B02",1265,9.37,2.68,22,"WA","Spokane","PSPL-Inland Copa 1 U15","Spr PSPL-Inland Copa 1 U15",""
"BIFC Blue B02",1262,7.46,3.3,19,"WA","Bainbridge Island","NPSL Div 2 (02) U15","","Founders Cup B02 Div A"
"HSC Atletico B02",1259,8.49,2.83,21,"OR","Hillboro","","Win OYS B02 Div 1 Yellow","OYS State Cup B02"
"WPFC Navy B02",1255,5.19,4.51,30,"WA","Tacoma","RCL B02 Div 4","","WYS Presidents Cup B02 Div 2"
"NW United Black B02",1251,8.18,2.78,28,"WA","Burlington","RCL B02 Div 4","",""
"PCSC Cosmos B02",1244,4.27,5.07,26,"WA","Tacoma","PSPL Classic 1 West U15","Spr PSPL Classic U15","WA Cup HS Silver U15"
"FC Portland White B02",1244,6.9,3.14,17,"OR","Portland","","Win OYS B02 Premier White","OYS Presidents Cup B02"
"MVP Rapids Navy B02",1240,3.75,5.65,24,"WA","Maple Valley","PSPL WSPL 2 U15","","WA Cup HS Silver U15"
"Washington East SC B B02",1238,6.04,3.46,35,"WA","Spokane","PSPL Classic 1 East U15","Spr PSPL Classic U15","WA Cup HS Silver U15"
"Nortac Sparta Red B02",1238,7.13,2.91,27,"WA","Tacoma","PSPL Classic 1 West U15","Spr PSPL SuperLeague U15",""
"Idaho Storm Thunder B02",1237,5.49,3.76,22,"ID","Meridian","Idaho D3 U14/U15 Div 1 U15","Spr Idaho D3 U15/16 Div 2 North","ID State Cup U15"
"Westside Timbers Mundial B02",1231,5.39,3.69,25,"OR","Beaverton","PTT B02 Div 1 White","Win OYS B02 Div 1 Yellow","OYS Presidents Cup B02"
"4-H Liverpool B02",1228,5,3.9,30,"OR","","PTT B02 Div 1 Green","Win OYS B02 Premier White",""
"Newport FC Barca B02",1228,7.15,2.73,28,"WA","Bellevue","NPSL Div 2 (02) U15","Spr NPSL (02) Div 1 U15","Founders Cup B02 Div A"
"Sting SC Timbers B02",1222,5.53,3.37,23,"ID","Coeur D'Alene","IPL East U15","Spr PSPL-Inland Copa 1 U15",""
"Kent United Green B02",1219,4.19,4.35,37,"WA","Kent","SSUL B01 Div 2","Spr NPSL (02) Div 1 U15","WYS Presidents Cup B02 Div 2"
"Washington Timbers Red 2 B02",1218,5.62,3.23,28,"WA","Vancouver","RCL B02 Div 4","","Founders Cup B02 Div A"
"Seattle United NE Blue B02",1210,5.34,3.21,26,"WA","Seattle","NPSL Div 2 (02) U15","","Founders Cup B02 Div A"
"Pacific FC Fire B02",1203,3.34,4.88,32,"WA","Battle Ground","PSPL Classic 2 U15","Win OYS B02 Div 1 Yellow","WA Cup HS Bronze U15"
"Mukilteo Rush B02",1202,4.71,3.45,27,"WA","Mukilteo","NPSL Div 2 (02) U15","","Founders Cup B02 Div A"
"Emerald City FC Green B02",1199,5.92,2.69,26,"WA","Seattle","PSPL WSPL 2 U15","Spr PSPL Classic U15","WA Cup HS Silver U15"
"Sun Valley Blue B02",1198,6.53,2.41,14,"ID","","","Spr Idaho D3 U15/16 Div 2 North",""
"Crossfire Oregon Green II B02",1191,3.39,4.42,10,"OR","Lake Oswego","","Win OYS B02 Div 1 Orange",""
"FC Bellevue Venom B02",1185,5.81,2.49,28,"WA","Bellevue","PSPL Classic 2 U15","Spr PSPL Classic U15","WA Cup HS Bronze U15"
"GPYSC Rebels Blue B02",1180,4.18,3.34,26,"OR","Grants Pass","PTT B02 Div 1 Green","Win OYS B02 Div 1 Orange","OYS Presidents Cup B02"
"Eastside Timbers White B02",1174,4.45,3,25,"OR","Gresham","","Win OYS B02 Div 1 Yellow","OYS Presidents Cup B02"
"CSC Storm B02",1172,4.78,2.76,38,"OR","Corvallis","PTT B02 Div 1 Green","Win OYS B02 Div 1 Orange","OYS Presidents Cup B02"
"Pelada FA Akademik B02",1172,5.05,2.61,10,"OR","Eugene","","Win OYS B02 Div 1 Orange",""
"Timber Barons B02",1166,4.9,2.57,27,"WA","Longview","PTT B02 Div 1 White","Win OYS B02 Div 1 Yellow",""
"Snohomish United Red B02",1161,4.9,2.49,26,"WA","Snohomish","RCL B02 Div 4","","WYS Presidents Cup B02 Div 1"
"BSC HR Black B02",1158,5.38,2.22,20,"OR","Portland","PTT B02 Div 1 Green","Win OYS B02 Div 1 Yellow",""
