"team .colname","total .colname","attack .colname","defense .colname","n .colname","region .colname","city .colname","fall.league .colname","spr.league .colname","other .colname"
"Capital FC Timbers Red G04",1163,4.85,2.55,40,"OR","Salem","PTT G04 Premier","Spr OYS G04 Premier Red","OYS State Cup G04"
"Eastside FC White G04",1160,2.71,4.46,35,"WA","Preston","RCL G04 Div 3","Win RCL G04 Div 3","WYS Presidents Cup G04 Div 1"
"Seattle Celtic Green G04",1159,4.07,2.96,38,"WA","Seattle","PSPL WSPL 1 U13","Spr PSPL Classic 1 U13","NWCL 04, WA Cup U13 Silver U13"
"Crossfire OR Blue I G04",1159,4.39,2.74,39,"OR","Tigard","PTT G04 Premier","Spr OYS G04 Premier White","OYS State Cup G04"
"TC United Navy G04",1157,2.94,4.05,32,"WA","Lacey","PSPL WSPL 2 U13","Spr PSPL SuperLeague U13","WA Cup U13 Gold U13"
"Whatcom FC Rangers Gold G04",1157,3.49,3.41,39,"WA","Bellingham","RCL G04 Div 2","Win RCL G04 Div 2","WYS Presidents Cup G04 Div 1"
"ETFC Akers Black G04",1156,4.19,2.81,35,"OR","Eugene","PTT G04 Premier","Spr OYS G04 Premier White","OYS State Cup G04"
"GS Surf B G04",1139,3.43,3.07,34,"WA","Bothel","RCL G04 Div 3","Win RCL G04 Div 3","WYS Presidents Cup G04 Div 1"
"Washington Timbers Red 2 G04",1138,2.84,3.66,35,"WA","Vancouver","PTT G04 Div 1 Red","Spr OYS G04 Premier White","OYS Presidents Cup G04"
"WPFC White G04",1122,2.24,4.16,26,"WA","Tacoma","RCL G04 Div 3","Win RCL G04 Div 3","WYS Presidents Cup G04 Div 2"
"THUSC Selenium Green G04",1117,3.94,2.29,40,"OR","Tualatin Hills","PTT G04 Premier","Spr OYS G04 Premier White","OYS State Cup G04"
"Breakers Black Swoboda G04",1115,3.81,2.32,29,"WA","Spokane","PSPL WSPL 1 U13","Spr PSPL SuperLeague U13","WA Cup U13 Gold U13"
"FWFC White G04",1112,3.21,2.71,35,"WA","Federal Way","RCL G04 Div 4","Win RCL G04 Div 3","WYS Presidents Cup G04 Div 2"
"WA Rush Nero G04",1107,2.46,3.41,41,"WA","Everett","RCL G04 Div 4","Win RCL G04 Div 4","WYS Presidents Cup G04 Div 2"
"MRFC Blue G04",1104,3.46,2.37,34,"WA","Bonney Lake","PSPL WSPL 2 U13","Spr PSPL SuperLeague U13","WA Cup U13 Gold U13"
"Bellevue United Robinson G04",1082,2.06,3.42,35,"WA","Bellevue","NPSL Div 1 (04) U13","","Founders Cup G04 Div A, WYS Presidents Cup G04 Div 2"
"Three Rivers SC Black G04",1078,4.2,1.63,34,"WA","Pasco","RCL G04 Div 2","Win RCL G04 Div 2","WYS Presidents Cup G04 Div 1"
"CYSA Timber Barons Green G04",1072,3.64,1.81,28,"WA","Kelso","PTT G04 Div 1 Red","Spr OYS G04 Div 1 Red",""
"FC Portland Navy G04",1069,2.37,2.72,33,"OR","Portland","PTT G04 Premier","Spr OYS G04 Premier White","NWCL 04, OYS State Cup G04"
"CSC Storm Navy G04",1052,3.37,1.7,34,"OR","Corvallis","PTT G04 Div 1 Red","Spr OYS G04 Div 1 Red","OYS Presidents Cup G04"
"Kitsap Alliance Red G04",1041,2.51,2.12,33,"WA","Silverdale","RCL G04 Div 3","Win RCL G04 Div 3","WYS Presidents Cup G04 Div 1"
"BSC Portland Black G04",1039,3.03,1.73,22,"OR","Portland","PTT G04 Div 1 Red","Spr OYS G04 Premier White","OYS State Cup G04"
"CWSA Navy G04",1038,3.6,1.44,23,"WA","Yakima","PSPL WSPL 2 U13","Spr PSPL Classic 1 U13","WA Cup U13 Gold U13"
"NEU Blue G04",1028,2.06,2.37,29,"OR","Portland","PTT G04 Div 1 Red","Spr OYS G04 Div 1 Red","OYS Presidents Cup G04"
"SSC Shadow United Hall G04",1026,2.45,1.95,22,"WA","Spokane","IPL East U13","Spr IPL East U14","WA Cup U13 Silver U13"
"Sting SC Timbers Red G04",1026,1.87,2.57,24,"ID","","PSPL-Inland Copa 1 North U13","Spr IPL East U14, Spr PSPL-Inland Copa Classic U13",""
"FC Nova Red JS G04",1023,1.7,2.76,12,"ID","Boise","Idaho D3 U13G Div 1 U13, Idaho D3 U14G Div 1 U14","",""
"PCU Red 2 G04",1023,1.14,4.12,23,"OR","Portland","PTT G04 Div 1 White","Spr OYS G04 Div 1 Red","OYS Presidents Cup G04"
"Bend FC Timbers Red G04",1016,2.67,1.67,31,"OR","Bend","PTT G04 Premier","Spr OYS G04 Premier White","OYS State Cup G04"
"Spokane Sounders B G04",1005,2.05,2.02,35,"WA","Spokane","RCL G04 Div 4","Win RCL G04 Div 3","WYS Presidents Cup G04 Div 2"
"Seattle United Shoreline Blue G04",1003,2.6,1.57,33,"WA","Seattle","NPSL Div 1 (04) U13","Spr NPSL (03) Div 2 U14","Founders Cup G04 Div A"
"Highline Premier Blue G04",1001,2.39,1.69,32,"WA","Burien","PSPL WSPL 1 U13","Spr PSPL Classic 1 U13","WA Cup U13 Silver U13"
"UPSC Jays G04",993,1.25,3.05,25,"WA","University Place","NPSL Div 3 (04) U13","",""
"FC Salmon Creek Nemesis White G04",993,2.43,1.56,31,"WA","Salmon Creek","PTT G04 Div 1 Red","Spr OYS G04 Premier White","OYS State Cup G04"
"Indie Chicas Lime G04",988,2.01,1.83,13,"ID","Eagle","Idaho D3 U13G Div 1 U13","Spr Idaho D3 U13 Div 2, Spr Idaho D3 U13/14 Div 1",""
"ISC Gunners B G04",986,1.94,1.87,34,"WA","Issaquah","PSPL Classic 1 U13","Spr PSPL Classic 1 U13","WA Cup U13 Silver U13"
"WA East G04",980,2.81,1.24,26,"WA","Spokane","PSPL Classic 1 U13","Spr PSPL SuperLeague U13","WA Cup U13 Silver U13"
"Washington Timbers White 1 G04",973,2.08,1.6,37,"WA","Vancouver","PTT G04 Div 1 White","Spr OYS G04 Div 1 Red","OYS Presidents Cup G04"
"FC Portland White G04",973,2.17,1.53,24,"OR","Portland","PTT G04 Div 2 Red","Spr OYS G04 Div 1 White",""
"Sandpoint Strikers G04",973,2.32,1.43,18,"ID","Sandpoint","IPL East U13","Spr IPL East U14",""
"Westside Timbers Samba TS G04",969,2.12,1.52,32,"OR","Beaverton","PTT G04 Div 1 Red","Spr OYS G04 Div 1 Red","OYS Presidents Cup G04"
"Snohomish United Black G04",965,1.47,2.14,31,"WA","Snohomish","RCL G04 Div 3","Win RCL G04 Div 3","WYS Presidents Cup G04 Div 2"
"Valley Thunder SC G04",963,2.04,1.52,13,"ID","Lewiston","PSPL-Inland Copa 1 South U13","",""
"Seattle United W Blue G04",959,1.42,2.11,32,"WA","Seattle","NPSL Div 1 (04) U13","Spr NPSL (04) Div 2 U13","Founders Cup G04 Div A"
"FC Nova Red MM G04",958,1.92,1.56,18,"ID","Boise","Idaho D3 U13G Div 2 U13","Spr Idaho D3 U13 Div 2",""
"PacNW White G04",954,2.03,1.43,43,"WA","Tukwila","RCL G04 Div 4","Win RCL G04 Div 4","WYS Presidents Cup G04 Div 2"
"Breakers Black Lewis G04",950,1.84,1.53,28,"WA","Spokane","PSPL Classic 1 U13","Spr PSPL Classic 1 U13","WA Cup U13 Silver U13"
"FME Fusion G04",949,2.09,1.34,39,"WA","Fife","NPSL Div 2 (04) U13","","Founders Cup G04 Div A, WYS Presidents Cup G04 Div 2"
"Idaho Rush Nero G04",935,1.72,1.49,14,"ID","Boise","Idaho D3 U13G Div 2 U13","Spr Idaho D3 U13 Div 2",""
"RSA Elite Harris G04",933,2.02,1.25,24,"WA","Puyallup","PSPL WSPL 2 U13","Spr PSPL Classic 1 U13","WA Cup U13 Silver U13"
"Cascade FC Green G04",933,1.72,1.46,32,"WA","Snoqualmie","PSPL Classic 1 U13","Spr PSPL Classic 1 U13","WA Cup U13 Silver U13"
"Crossfire OR WUSC White G04",922,1.62,1.44,40,"OR","West Linn","PTT G04 Div 1 White","Spr OYS G04 Div 1 White","OYS Presidents Cup G04"
"Emerald City FC Green G04",916,1.87,1.19,24,"WA","Seattle","PSPL Classic 2 U13","Spr PSPL Classic 1 U13","WA Cup U13 Silver U13"
"Crossfire Select MacDonald G04",910,1.73,1.24,33,"WA","Redmond","NPSL Div 1 (04) U13","","Founders Cup G04 Div A"
"Endeavour Soccer Academy G04",908,2.36,0.89,17,"WA","","PSPL-Inland Copa 1 South U13","Spr PSPL-Inland Copa 3 U14",""
"Oregon Trail SC Fury G04",907,2.02,1.04,31,"OR","","PTT G04 Div 1 White","Spr OYS G04 Div 1 White","OYS Presidents Cup G04"
"NSC Green Dash G04",904,1.38,1.48,31,"WA","Woodinvile","NPSL Div 1 (04) U13","","Founders Cup G04 Div A"
"Crossfire Select Lower G04",901,1.64,1.23,27,"WA","Redmond","NPSL Div 1 (04) U13","","Founders Cup G04 Div A"
"Crossfire OR CUSC Red G04",895,1.41,1.37,24,"OR","Clackamas","PTT G04 Div 2 Red","",""
"Crossfire OR LOSC Blue I G04",882,1.84,0.96,42,"OR","Lake Oswego","PTT G04 Div 1 White","Spr OYS G04 Div 1 White","OYS Presidents Cup G04"
